	u{power: 1.0}_u	C_u	v{power: 1.0} * u{power: 1.0}_u	v{power: 1.0}_u	du/dx1{power: 1.0} * v{power: 1.0}_u	du/dx1{power: 1.0}_u	du/dx1{power: 1.0} * u{power: 1.0}_u	dv/dx1{power: 1.0}_u	dv/dx1{power: 1.0} * du/dx1{power: 1.0}_u	du/dx1{power: 1.0}_r_u	du/dx1{power: 1.0} * u{power: 1.0}_r_u	du/dx1{power: 1.0} * dv/dx1{power: 1.0}_r_u	du/dx1{power: 1.0} * v{power: 1.0}_r_u	C_v	v{power: 1.0}_v	v{power: 1.0} * u{power: 1.0}_v	u{power: 1.0}_v	du/dx1{power: 1.0}_v	dv/dx1{power: 1.0}_v	dv/dx1{power: 1.0} * v{power: 1.0}_v	dv/dx1{power: 1.0} * u{power: 1.0}_v	dv/dx1{power: 1.0} * du/dx1{power: 1.0}_v	u{power: 1.0} * du/dx1{power: 1.0}_v	dv/dx1{power: 1.0}_r_v	dv/dx1{power: 1.0} * du/dx1{power: 1.0}_r_v	dv/dx1{power: 1.0} * v{power: 1.0}_r_v
33	-9.594e-07	0.6665925272	0.0	-1.3331791331	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	6.6166e-06	-0.9998667215	0.999847761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
34	0.0	0.3305577128	0.0	-0.6611008333	0.0	0.0	0.4576246249	0.0	0.0	-1.0	0.0	0.0	0.0	-0.4999422708	0.0	0.0	0.4999486217	-0.0691337316	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
35	0.6665670711	2.5379e-06	-1.3331360721	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	-0.2468548956	0.0	0.0	0.2468546169	0.0	0.0	0.8786663179	0.0	0.0	0.0	-1.0	0.0	0.0
36	0.6665670711	2.5379e-06	-1.3331360721	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	-0.4999422708	0.0	0.0	0.4999486217	-0.0691337316	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
37	0.6665670711	2.5379e-06	-1.3331360721	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	-0.2390561676	0.0	0.0	0.1869215955	0.0	0.0	0.0	0.5204128361	0.0	0.0	-1.0	0.0	0.0
38	0.6665670711	2.5379e-06	-1.3331360721	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	6.6166e-06	-0.9998667215	0.999847761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
39	-9.594e-07	0.6665925272	0.0	-1.3331791331	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	6.6166e-06	-0.9998667215	0.999847761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
40	0.6665670711	2.5379e-06	-1.3331360721	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	-0.4999422708	0.0	0.0	0.4999486217	-0.0691337316	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
41	-9.594e-07	0.6665925272	0.0	-1.3331791331	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	6.6166e-06	-0.9998667215	0.999847761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
42	0.6665670711	2.5379e-06	-1.3331360721	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	6.6166e-06	-0.9998667215	0.999847761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
43	0.0	0.3346244678	0.0	-0.8695036498	0.0	0.0	0.0	-0.1941500524	0.0	0.0	0.0	0.0	-1.0	-0.4999422708	0.0	0.0	0.4999486217	-0.0691337316	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
44	-0.0576541375	0.0882426765	0.0	-0.0815208872	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.4999623418	-0.9999286368	0.0	0.0	-0.7500158553	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
45	0.6665670711	2.5379e-06	-1.3331360721	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	-0.4999422708	0.0	0.0	0.4999486217	-0.0691337316	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
46	0.6665670711	2.5379e-06	-1.3331360721	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	-0.2468548956	0.0	0.0	0.2468546169	0.0	0.0	0.8786663179	0.0	0.0	0.0	-1.0	0.0	0.0
47	-9.594e-07	0.6665925272	0.0	-1.3331791331	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	6.6166e-06	-0.9998667215	0.999847761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
48	-9.594e-07	0.6665925272	0.0	-1.3331791331	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	6.6166e-06	-0.9998667215	0.999847761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
49	0.6665670711	2.5379e-06	-1.3331360721	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.2629345513	0.0	0.0	-0.2629343488	0.0	1.1020686709	0.0	0.0	0.0	0.0	0.0	0.0	-1.0
50	0.6665670711	2.5379e-06	-1.3331360721	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	-0.4999422708	0.0	0.0	0.4999486217	-0.0691337316	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
51	-9.594e-07	0.6665925272	0.0	-1.3331791331	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	6.6166e-06	-0.9998667215	0.999847761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
52	0.6665670711	2.5379e-06	-1.3331360721	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	-0.4999422708	0.0	0.0	0.4999486217	-0.0691337316	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
53	0.0	-0.422886702	0.0	0.8254269384	0.0	0.6802893578	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	6.6166e-06	-0.9998667215	0.999847761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
54	0.6665670711	2.5379e-06	-1.3331360721	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	-0.4059841484	0.0	0.0	0.3958176668	0.0	-0.9070366991	0.0	0.0	0.0	0.0	0.0	-1.0	0.0
55	0.6665670711	2.5379e-06	-1.3331360721	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.2629345513	0.0	0.0	-0.2629343488	0.0	1.1020686709	0.0	0.0	0.0	0.0	0.0	0.0	-1.0
56	0.6665670711	2.5379e-06	-1.3331360721	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	-0.4999422708	0.0	0.0	0.4999486217	-0.0691337316	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
57	0.6665670711	2.5379e-06	-1.3331360721	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	6.6166e-06	-0.9998667215	0.999847761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
58	-9.594e-07	0.6665925272	0.0	-1.3331791331	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	6.6166e-06	-0.9998667215	0.999847761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
59	0.6665670711	2.5379e-06	-1.3331360721	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	-0.4999422708	0.0	0.0	0.4999486217	-0.0691337316	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
60	0.6665670711	2.5379e-06	-1.3331360721	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	-0.4999422708	0.0	0.0	0.4999486217	-0.0691337316	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
61	-9.594e-07	0.6665925272	0.0	-1.3331791331	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	6.6166e-06	-0.9998667215	0.999847761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
62	0.6665670711	2.5379e-06	-1.3331360721	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	-0.4999422708	0.0	0.0	0.4999486217	-0.0691337316	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
63	0.6665670711	2.5379e-06	-1.3331360721	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.2629345513	0.0	0.0	-0.2629343488	0.0	1.1020686709	0.0	0.0	0.0	0.0	0.0	0.0	-1.0
64	0.6665670711	2.5379e-06	-1.3331360721	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	-0.2468548956	0.0	0.0	0.2468546169	0.0	0.0	0.8786663179	0.0	0.0	0.0	-1.0	0.0	0.0
