	d^2u/dx2^2{power: 1.0}	u{power: 1.0}	C	du/dx1{power: 1.0}	d^2u/dx1^2{power: 1.0}_r	du/dx1{power: 1.0}_r
0	0.0276466390350329	-0.2180803600893373	0.2630550855129436	-0.0411104426915203	-1	0
1	0.0	0.0	0.0	0.0	0	-1
2	0.0	-1.1116870925398714	3.119353000153107	0.0	-1	0
3	0.0	-1.1538333317558005	3.255839580545203	-0.0965447307056934	-1	0
4	0.0	0.0	0.0	0.0	0	-1
5	0.0276466390350329	-0.2180803600893373	0.2630550855129436	-0.0411104426915203	-1	0
6	0.0414160032032822	0.253863926872501	-1.2465836553337553	0.0	-1	0
7	0.0	0.0	0.0	0.0	0	-1
8	0.0276466390350329	-0.2180803600893373	0.2630550855129436	-0.0411104426915203	-1	0
9	0.034083335099562	0.0	-0.434644056538215	-0.0280409988028543	-1	0
10	0.0414160032032822	0.253863926872501	-1.2465836553337553	0.0	-1	0
11	0.0276466390350329	-0.2180803600893373	0.2630550855129436	-0.0411104426915203	-1	0
12	0.0	0.0	0.0	0.0	0	-1
13	0.034083335099562	0.0	-0.434644056538215	-0.0280409988028543	-1	0
14	0.0414160032032822	0.253863926872501	-1.2465836553337553	0.0	-1	0
15	0.0276466390350329	-0.2180803600893373	0.2630550855129436	-0.0411104426915203	-1	0
16	0.0	0.0	0.0	0.0	0	-1
17	0.0414160032032822	0.253863926872501	-1.2465836553337553	0.0	-1	0
18	0.0276466390350318	-0.2180803600893407	0.2630550855129542	-0.0411104426915207	-1	0
19	0.0414160032032822	0.253863926872501	-1.2465836553337553	0.0	-1	0
20	0.0	0.0	0.0	0.0	0	-1
21	0.0276466390350329	-0.2180803600893373	0.2630550855129436	-0.0411104426915203	-1	0
22	0.0	0.0	0.0	0.0	0	-1
23	0.034083335099562	0.0	-0.434644056538215	-0.0280409988028543	-1	0
24	0.0414160032032822	0.253863926872501	-1.2465836553337553	0.0	-1	0
25	0.0276466390350329	-0.2180803600893373	0.2630550855129436	-0.0411104426915203	-1	0
26	0.0	0.0	0.0	0.0	0	-1
27	0.0414160032032822	0.253863926872501	-1.2465836553337553	0.0	-1	0
28	0.0276466390350329	-0.2180803600893373	0.2630550855129436	-0.0411104426915203	-1	0
29	0.0	0.0	0.0	0.0	0	-1
30	0.0414160032032822	0.253863926872501	-1.2465836553337553	0.0	-1	0
31	0.0276466390350329	-0.2180803600893373	0.2630550855129436	-0.0411104426915203	-1	0
32	0.0414160032032822	0.253863926872501	-1.2465836553337553	0.0	-1	0
33	0.0	0.0	0.0	0.0	0	-1
34	0.0276466390350314	-0.218080360089353	0.263055085512993	-0.0411104426915212	-1	0
35	0.034083335099562	0.0	-0.434644056538215	-0.0280409988028543	-1	0
36	0.0	0.0	0.0	0.0	0	-1
37	0.0414160032032822	0.253863926872501	-1.2465836553337553	0.0	-1	0
38	0.027646639035031	-0.2180803600893655	0.2630550855130348	-0.0411104426915194	-1	0
39	0.0	0.0	0.0	0.0	0	-1
40	0.034083335099562	0.0	-0.434644056538215	-0.0280409988028543	-1	0
41	0.0414160032032822	0.253863926872501	-1.2465836553337553	0.0	-1	0
42	0.0276466390350311	-0.2180803600893647	0.2630550855130323	-0.0411104426915212	-1	0
43	0.0	-1.1116870925398714	3.119353000153107	0.0	-1	0
44	0.034083335099562	0.0	-0.434644056538215	-0.0280409988028543	-1	0
45	0.0	0.0	0.0	0.0	0	-1
46	0.027646639035031	-0.2180803600893655	0.2630550855130348	-0.0411104426915194	-1	0
47	0.0	0.0	0.0	0.0	0	-1
48	0.0414160032032822	0.253863926872501	-1.2465836553337553	0.0	-1	0
