	d^2u/dx2^2{power: 1.0}	du/dx2{power: 1.0}	u{power: 1.0}	C	du/dx1{power: 1.0}	d^2u/dx1^2{power: 1.0}_r	du/dx1{power: 1.0}_r
0	0.03757206020154708	0.0	0.0	-0.17136645154641753	0.0	-1	0
1	0.0	0.0	0.0	0.0	0.0	0	-1
2	0.05229946075148952	0.0	0.483131549577575	-1.6904636685522205	0.0178702775171546	-1	0
3	0.037572061898378625	-0.0002319692804486494	0.0	-0.1713663510426852	0.0	-1	0
4	0.052299460751489696	0.0	0.4831315495775757	-1.6904636685522196	0.017870277517152925	-1	0
5	0.037572061898378625	-0.0002319692804486494	0.0	-0.1713663510426852	0.0	-1	0
6	0.0	0.0	0.0	0.0	0.0	0	-1
7	0.03757206020154708	0.0	0.0	-0.17136645154641753	0.0	-1	0
8	0.05229946075148946	0.0	0.48313154957757254	-1.6904636685522147	0.01787027751715041	-1	0
9	0.03757206020154708	0.0	0.0	-0.17136645154641753	0.0	-1	0
10	0.0	0.0	0.0	0.0	0.0	0	-1
11	0.0501027619932284	-0.00023204148104599522	0.4039408165221179	-1.439836917895866	0.0	-1	0
12	0.03757206020154708	0.0	0.0	-0.17136645154641753	0.0	-1	0
13	0.0	0.0	0.0	0.0	0.0	0	-1
14	0.05229946075148954	0.0	0.48313154957757376	-1.690463668552215	0.017870277517151926	-1	0
15	0.037572061898378625	-0.0002319692804486494	0.0	-0.1713663510426852	0.0	-1	0
16	0.052299460751489724	0.0	0.48313154957757537	-1.6904636685522192	0.017870277517145563	-1	0
17	0.03757206020154708	0.0	0.0	-0.17136645154641753	0.0	-1	0
18	0.0	0.0	0.0	0.0	0.0	0	-1
19	0.03757206189837861	-0.00023196928044863507	0.0	-0.17136635104268544	0.0	-1	0
20	0.05229946075148946	0.0	0.48313154957757254	-1.6904636685522147	0.01787027751715041	-1	0
21	0.03757206020154708	0.0	0.0	-0.17136645154641753	0.0	-1	0
22	0.0	0.0	0.0	0.0	0.0	0	-1
