,grid_res,time,RMSE,loss,type,cache
0,70,1142.064525604248,0.16014846154059853,0.026099956618305425,wave_eqn,True
1,70,1236.6279752254486,0.18452943640537384,0.04220839682889735,wave_eqn,True
2,70,811.8253557682037,0.15238602492757297,0.0640722054049844,wave_eqn,True
3,70,924.2665774822235,0.10742131800305937,0.03763355215265811,wave_eqn,True
4,70,885.4168853759766,0.0979421339461629,0.03839482861922701,wave_eqn,True
5,70,834.9368391036987,0.23508735279188017,0.03325245023844585,wave_eqn,True
6,70,818.8936901092529,0.11001372765382555,0.030030728571430063,wave_eqn,True
7,70,1012.3547451496124,0.11288006627033022,0.08306335783970384,wave_eqn,True
8,70,902.7016198635101,0.13620792400301487,0.05641723218621278,wave_eqn,True
9,70,917.0338959693909,0.1249409235824419,0.026242233889441052,wave_eqn,True
