,grid_res,time,RMSE,loss,type,cache
0,70,786.649834394455,0.1953999417508374,0.048752107716668144,wave_eqn,True
1,70,2345.8728280067444,0.1468418513245894,0.09690701442311693,wave_eqn,True
2,70,720.7281684875488,0.22343610731837066,0.020573647017769828,wave_eqn,True
3,70,782.8190410137177,0.13582190954937837,0.065713604295966,wave_eqn,True
4,70,1044.842344045639,0.1555514586890028,0.05931102765861336,wave_eqn,True
5,70,878.9250855445862,0.11107952417569894,0.04121376373876678,wave_eqn,True
6,70,1394.3953156471252,0.15500138102910654,0.06207414444372494,wave_eqn,True
7,70,752.1328780651093,0.11788783062849781,0.07340179285043788,wave_eqn,True
8,70,924.6743462085724,0.17376496722835771,0.04776455635945327,wave_eqn,True
9,70,936.7808616161346,0.1087355710826352,0.02981940410235795,wave_eqn,True
